tract_id,population,county,zip,location,lon,lat,ces_score,ces_percentile,percentile_range,dac_category,pollution_burden_pctl,pop_char_pctl
6037542401,4735,Los Angeles,90221,Compton,-118.2109036,33.8923624,73.1630047175589,99.4831064044377,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,96.07965152458,98.6762481089259
6037203500,2907,Los Angeles,90033,Los Angeles,-118.2185819,34.057226,73.0859581737601,99.4704992435703,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,99.3403858120722,90.5320221886031
6037239201,3753,Los Angeles,90003,Los Angeles,-118.2771699,33.9857805,72.9334365746763,99.457892082703,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,95.9551960174238,98.6006051437216
6037219902,3809,Los Angeles,90016,Los Angeles,-118.368517,34.02931,72.7780146715032,99.4452849218356,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,98.7803360298693,93.4947049924357
6037534201,4768,Los Angeles,90201,Bell Gardens,-118.1672627,33.9580353,72.6859617275051,99.4326777609682,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,99.8879900435594,84.3545133635905
6037540700,3230,Los Angeles,90059,Willowbrook,-118.2453429,33.9255436,72.5706675086486,99.3948562783661,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,95.3827006845053,98.7897125567322
6037540901,4904,Los Angeles,90061,West Rancho Dominguez,-118.2717325,33.9194635,72.2529864979648,99.3822491174987,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,96.0174237710019,98.1467473524962
6037533806,3794,Los Angeles,90201,Bell,-118.1704919,33.9722323,71.9976157771303,99.3696419566314,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,99.0665836963286,90.9354513363591
6037534102,6219,Los Angeles,90201,Bell Gardens,-118.1616452,33.9702059,71.8971217833275,99.3444276348966,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,98.0460485376478,94.5789208270298
6037127400,6558,Los Angeles,91406,Los Angeles,-118.4782103,34.2102531,71.8472302501263,99.3192133131619,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,97.6851275668948,95.1714573877963
6037570301,7273,Los Angeles,90805,Long Beach,-118.1922187,33.8676075,71.4203062108038,99.2939989914271,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,96.3658991910392,97.1129601613717
6037534301,4320,Los Angeles,90201,Cudahy,-118.1852919,33.9599735,71.4032500454476,99.2813918305598,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,98.3945239576851,93.2299546142209
6037294701,3099,Los Angeles,90744,Los Angeles,-118.2549079,33.7780161,71.2944344774731,99.2687846696924,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,97.9838207840697,93.9863842662632
6037239330,2458,Los Angeles,90001,Los Angeles,-118.2631029,33.9783876,71.2445373289306,99.256177508825,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,95.8556316116988,97.6046394351992
6037570402,3400,Los Angeles,90805,Long Beach,-118.1986552,33.8685443,71.2143346008294,99.2309631870903,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,98.3696328562539,93.0282400403429
6037239702,4334,Los Angeles,90003,Los Angeles,-118.2750006,33.962202,70.7578541094618,99.2183560262229,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,91.437461107654,99.6091780131114
6037540400,2109,Los Angeles,90059,Willowbrook,-118.2282398,33.9326754,70.562171607022,99.2057488653555,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,96.7890479153702,95.7135653050933
6037296210,3132,Los Angeles,90731,Los Angeles,-118.2839528,33.7476138,70.5291018215325,99.1931417044882,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,94.7853142501556,98.1971759959657
6037534302,3720,Los Angeles,90201,Cudahy,-118.1755664,33.9593595,70.4498346706394,99.1805345436208,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,97.1624144368388,94.9193141704488
6037120020,3872,Los Angeles,91402,Los Angeles,-118.4548516,34.2188235,70.3290027519602,99.155320221886,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,92.8189172370877,99.2057488653555
6037434004,3039,Los Angeles,91733,South El Monte,-118.0321896,34.0402202,70.2160870047862,99.1427130610187,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,99.0416925948973,88.9435199193142
6037205110,3904,Los Angeles,90023,Los Angeles,-118.2142985,34.0245059,70.1266241259499,99.1048915784165,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,97.2619788425638,94.452849218356
6037122410,3457,Los Angeles,91605,Los Angeles,-118.3919739,34.2044832,70.0395522529101,99.0922844175492,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,92.9807093963908,98.9788199697428
6037532304,4013,Los Angeles,90040,Commerce,-118.1526793,33.9862905,69.999705411202,99.0796772566818,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,99.8257622899813,82.1230458900656
6037208000,7508,Los Angeles,90026,Los Angeles,-118.2560631,34.0625684,69.8143566860454,99.0544629349471,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,99.639079029247,83.8502269288956
6037575401,4788,Los Angeles,90813,Long Beach,-118.200174,33.7863532,69.6601585462911,99.0292486132123,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,92.4704418170504,99.0292486132123
6037572301,3841,Los Angeles,90810,Long Beach,-118.2215755,33.8219958,69.6468870713904,99.0166414523449,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,98.5438705662726,90.5698436712052
6037239310,4501,Los Angeles,90003,Los Angeles,-118.2773062,33.9785291,69.5718894737828,98.9914271306102,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,90.8774113254511,99.457892082703
6037228900,2918,Los Angeles,90058,Los Angeles,-118.2430143,33.9920544,69.5592483216759,98.9788199697428,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,92.482887367766,98.9914271306102
6037219901,4150,Los Angeles,90016,Los Angeles,-118.3605226,34.0297377,69.5186053899178,98.9662128088754,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,96.2787803360299,95.738779626828
6037570502,6588,Los Angeles,90805,Long Beach,-118.1668021,33.8674703,69.3881311037086,98.9536056480081,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,98.3447417548226,90.8472012102874
6037570203,4165,Los Angeles,90805,Long Beach,-118.1600078,33.8783269,69.3798588087769,98.9409984871407,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,97.1748599875545,93.7720625315179
6037533002,2705,Los Angeles,90001,Florence-Graham,-118.2391487,33.9774904,69.2918976009523,98.9283913262733,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,94.835096453018,97.2390317700454
6037228100,5505,Los Angeles,90011,Los Angeles,-118.2439607,34.009617,69.2552850083229,98.915784165406,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,96.3285625388923,95.4362077660111
6037532603,3289,Los Angeles,90255,Huntington Park,-118.2333907,33.9846156,69.063775529479,98.8905698436712,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,94.0634723086497,97.7054967221382
6037117408,3073,Los Angeles,91343,Los Angeles,-118.4703709,34.2248464,68.9578570982497,98.8779626828038,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,92.1593030491599,98.8653555219365
6037204700,5510,Los Angeles,90023,Los Angeles,-118.2124515,34.0309821,68.9161619648702,98.8653555219365,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,98.6807716241444,89.2208774583964
6037302401,7395,Los Angeles,91204,Glendale,-118.2597456,34.1316179,68.8639056792136,98.8527483610691,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,98.2825140012446,90.3303076147252
6037602900,4443,Los Angeles,90249,Gardena,-118.3065724,33.9079762,68.7491780830079,98.8401412002017,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,99.215930304916,85.7791225416036
6037433504,4802,Los Angeles,91733,El Monte,-118.0551094,34.0585512,68.7154052173321,98.814926878467,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,96.9010578718108,93.7972768532526
