"Project Name","Latitude","Longitude","Project Footprint (Acres)","Drainage Area (Acres)","Actual Storage Capacity (Acre-feet)","Cumulative Volume Addressed (Acre-feet)","Actual Completion Date","Project Type","Capital Costs ($)","Cumulative O&M Costs ($)"
"601 E Fairview Ave",34.08991,-118.09329,0.01,0.08,0,0,"7/2/2021","LID Retrofit, Bioretention",8300,0
"613 Paulina",33.852748,-118.381965,NA,NA,NA,0.877763,"4/7/2021","Green Street, Bioretention",10000,30000
"614 Paulina",33.852841,-118.381895,NA,NA,NA,0.87908,"4/7/2021","Green Street, Bioretention",10000,30000
"701 E Fairview Ave",34.08997,-118.09206,0.001,0,0,0,"7/2/2021","LID Retrofit, Bioretention",5500,0
"701 San Salvatorre Pl",34.113526,-118.097111,0.003,0.23,0,0,"7/2/2021","LID Retrofit, Bioretention",2500,0
"7th Avenue",34.016607,-117.989711,NA,NA,NA,2.594055,"7/31/2013","Green Street, Bioretention",22000,23255
"8517 E Hermosa Dr",34.106266,-118.083227,0.001,0.08,0,0,"7/2/2021","LID Retrofit, Bioretention",2340.31,0
"8th Street and Monterey Blvd",33.859616,-118.397356,NA,NA,NA,9.211326,"11/7/2019","Green Street, Bioretention",57500,8400
"8th Street and Valley Drive",33.860168,-118.394266,NA,NA,NA,5.537267,"11/7/2019","Green Street, Bioretention",57500,8400
"930 Anderson Way",34.090375,-118.105043,0.002,0.15,0,0,"7/1/2022","LID Retrofit, Bioretention",0,0
"ATP Cycle 3_ Pacific Avenue Complete Street",34.080556,-117.956916,NA,NA,NA,0,"8/9/2020","Green Street, Bioretention",0,0
"Acacia Avenue Storm Drain Infiltration Project",34.1354972,-118.2443555,0.02,18.6,1.2,1.9,"12/31/2023","Infiltration Well",0,0
"Agnes Ave Green Street",34.18676,-118.41172,1,80,0,0,"6/15/2021","Green Street, Bioretention",2488600,227042
"Alamitos Beach Concession Building",33.764227,-118.183177,NA,NA,NA,0.89347,"4/30/2022","LID Retrofit, Bioretention",0,10240
"Alamitos Parking Lot Improvements",33.765026,-118.182834,NA,NA,NA,7.283424,"4/30/2016","LID Retrofit, Bioretention",0,10240
"Albion Riverside Park",34.06879,-118.22355,6,300,5,533.04,"6/27/2019","Regional Infiltration Gallery",22208406,5497948
"Altadena Home Retrofits and Parkway Basins Project",34.191118,-118.158473,0.05,29.3,0.06,0.07,"6/30/2023","Green Street, Bioretention",420000,0
"Amie Basin Enhancement",33.845638,-118.349808,NA,NA,NA,1513.479814,"8/20/2015","Regional Infiltration Gallery",1250000,520000
"Amie Basin Expansion",33.845638,-118.349808,NA,NA,NA,142.785654,"11/2/2023","Regional Infiltration Gallery",4e+05,133304.1
"Arrow Highway Rehabilitation",34.10604657,-117.873797,NA,NA,NA,0.496112,"11/29/2023","Green Street, Biofiltration",150000,300
"Arroyo Boulevard (Rose Bowl Entry) Project",34.15783,-118.167224,1.5,2.4,0.16,18.44,"1/2/2014","LID Retrofit, Bioretention",2075727,0
"Arroyo Seco LFD Hermon Dog Park AS-21",34.10442255,-118.2029094,0.1,266,2.54,9.24,"3/8/2024","Diversion to Sanitary Sewer",4060163,60902
"Arroyo Seco LFD Sycamore Grove Park AS-15",34.10040967,-118.2029094,0.1,1135,3.36,15.48,"3/8/2024","Diversion to Sanitary Sewer",2666746,40001
"Arterial Street Resurfacing In Paramount Boulevard",33.907611,-118.160278,NA,NA,NA,0,"10/12/2019","Infiltration Well",0,0
"Arterial Street Resurfacing on Alondra Boulevard #1",33.889253,-118.18479,NA,NA,NA,0.206522,"1/1/2021","Infiltration Well",0,0
"Arterial Street Resurfacing on Alondra Boulevard #2",33.889005,-118.184354,NA,NA,NA,0.206522,"1/1/2021","Infiltration Well",0,0
"Arterial Street Resurfacing on Downey Ave #1",33.88756733,-118.1514914,NA,NA,NA,0.206748,"1/1/2021","Infiltration Well",0,0
"Arterial Street Resurfacing on Downey Ave #2",33.88368,-118.151758,NA,NA,NA,0.206748,"1/1/2021","Infiltration Well",0,0
"Arterial Street Resurfacing on Downey Ave and Madison St #1",33.891042,-118.152958,NA,NA,NA,0.16804,"1/1/2023","Infiltration Well",84000,1500
"Arterial Street Resurfacing on Downey Ave and Madison St #2",33.891197,-118.152828,NA,NA,NA,0.249877,"1/1/2023","Infiltration Well",84000,1500
"Arterial Street Resurfacing on Downey Boulevard",33.887567,-118.151491,NA,NA,NA,0,"1/1/2021","Infiltration Well",0,0
"Arterial Street Resurfacing on Orange Ave and Alondra Blvd",33.889498,-118.177602,NA,NA,NA,0,"12/1/2024","Infiltration Well",1e+05,250
"Arterial Street Resurfacing on Orange Ave and Myrrh St",33.893526,-118.177409,NA,NA,NA,0,"12/1/2024","Infiltration Well",1e+05,250
"Arterial Street Resurfacing on Orange Ave and San Luis St",33.897352,-118.177607,NA,NA,NA,0.21826,"6/30/2023","Infiltration Well",89000,1500
"Atlantic Avenue Improvements",33.941537,-118.181459,NA,NA,NA,0,"1/2/2016","Green Street, Biofiltration",150000,3500
"Atlantic Place Tract Green Street",33.890385,-118.185512,NA,NA,NA,0,"1/2/2017","Green Street, Bioretention",0,0
"Avalon North Green Alley",33.993802,-118.271703,1,5,0.13,32.06,"9/1/2016","Green Street, Biofiltration",1471628,345689
"Avalon South Green Alley",33.995917,-118.265974,1,3,0.13,21.92,"9/1/2015","Green Street, Biofiltration",1600000,423978
"Avocado Heights Multiuse Trail",34.034692,-117.98675,NA,NA,NA,0.647591,"9/26/2014","Green Street, Bioretention",7500,2021.9
"Avocado Heights Multiuse Trail",34.033435,-117.98798,NA,NA,NA,0.477731,"9/26/2014","Green Street, Bioretention",7500,1444.2
"Avocado Heights Multiuse Trail",34.03365,-117.987766,NA,NA,NA,1.029776,"9/26/2014","Green Street, Bioretention",7500,3080.8
"Avocado Heights Multiuse Trail",34.029012,-117.992456,NA,NA,NA,7.895836,"9/26/2014","Green Street, Bioretention",7500,23876.2
"Avocado Heights Multiuse Trail",34.032037,-117.989389,NA,NA,NA,1.52874,"9/26/2014","Green Street, Bioretention",7500,4621.2
"Avocado Heights Multiuse Trail",34.034548,-117.986889,NA,NA,NA,0.626358,"9/26/2014","Green Street, Bioretention",7500,1925.6
"Avocado Heights Multiuse Trail",34.032634,-117.988797,NA,NA,NA,0.552044,"9/26/2014","Green Street, Bioretention",7500,1636.9
"Avocado Heights Multiuse Trail",34.036564,-117.984898,NA,NA,NA,0.594509,"9/26/2014","Green Street, Bioretention",7500,1829.4
"Avocado Heights Multiuse Trail",34.036314,-117.985146,NA,NA,NA,0.828067,"9/26/2014","Green Street, Bioretention",7500,2503.1
"Avocado Heights Multiuse Trail",34.029515,-117.991894,NA,NA,NA,0.997928,"9/26/2014","Green Street, Bioretention",7500,2984.6
"Avocado Heights Multiuse Trail",34.035541,-117.985912,NA,NA,NA,0.615742,"9/26/2014","Green Street, Bioretention",7500,1925.6
"Avocado Heights Multiuse Trail",34.032807,-117.988619,NA,NA,NA,0.721904,"9/26/2014","Green Street, Bioretention",7500,2214.4
"Avocado Heights Multiuse Trail",34.035055,-117.986396,NA,NA,NA,1.794147,"9/26/2014","Green Street, Bioretention",7500,5391.4
